,xG,npxG,goals,xA,assists,key_passes,shots,xGChain,minutes,team_xGA,team_xG,opponent_xGA,opponent_xG,team_goals_conceded,team_goals_scored,saves,opponent_attack_strength,opponent_defense_strength,points
4530,0.08363763242959976,0.08363763242959976,1,0.0,0,0,1,0.4408819079399109,90,2.5061400000000003,0.77074,43.14924539672211,49.14518130477518,4.0,2.0,0.0,1130.0,1220.0,6.0
4550,0.0,0.0,0,0.0,0,0,0,0.5336063504219055,90,2.5061400000000003,0.77074,43.14924539672211,49.14518130477518,4.0,2.0,0.0,1130.0,1220.0,0.0
4561,0.0632345899939537,0.0632345899939537,0,0.0,0,0,1,0.5156824588775635,90,0.710778,1.9617,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1150.0,1210.0,5.0
4574,0.0,0.0,0,0.0,0,0,0,1.6436256170272827,90,0.33118800000000004,2.08868,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,7.0
4594,0.0,0.0,0,0.0,0,0,0,0.5353479981422424,90,0.8383219999999999,1.43023,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,5.0
362,0.053161103278398514,0.053161103278398514,0,0.0,0,0,2,0.15229181945323944,81,0.747166,1.51332,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,3.0
4685,0.10410603880882263,0.10410603880882263,0,0.0984107255935669,0,1,2,0.7344159483909607,90,0.161161,2.43732,43.14924539672211,49.14518130477518,0.0,3.0,0.0,1130.0,1220.0,3.0
4704,0.0,0.0,0,0.0,0,0,0,0.3835660517215729,10,1.1781700000000002,2.73834,43.14924539672211,49.14518130477518,0.0,3.0,0.0,1150.0,1210.0,1.0
4741,0.0,0.0,0,0.025756923481822014,0,1,0,0.1304510533809662,90,0.368554,0.709634,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,6.0
4754,0.06131939217448235,0.06131939217448235,0,0.0,0,0,1,0.10469412803649902,90,0.368554,0.709634,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,5.0
4760,0.0,0.0,0,0.10006719082593918,0,1,0,0.29751190543174744,90,1.35217,2.5062900000000004,43.14924539672211,49.14518130477518,3.0,3.0,0.0,1150.0,1210.0,0.0
4787,0.0,0.0,0,0.011331332847476006,0,2,0,0.08081501722335815,90,1.32902,2.06377,43.14924539672211,49.14518130477518,2.0,1.0,0.0,1130.0,1220.0,1.0
3122,0.0,0.0,0,0.0,0,0,0,0.17527279257774353,90,0.595216,0.390629,43.14924539672211,49.14518130477518,0.0,2.0,0.0,1150.0,1210.0,7.0
3079,0.0,0.0,0,0.0,0,0,0,0.011331332847476006,90,1.32902,2.06377,43.14924539672211,49.14518130477518,2.0,1.0,0.0,1130.0,1220.0,1.0
